timestamp,contest_url,question,answer,mode,status,source
2026-02-12T21:59:49.123883,https://www.filmweb.pl/contest/5847,,,auto,SKIPPED_ENDED,
2026-02-12T21:59:49.840652,https://www.filmweb.pl/contest/5848,,,auto,SKIPPED_ENDED,
2026-02-12T21:59:50.503992,https://www.filmweb.pl/contest/5849,,,auto,SKIPPED_ENDED,
2026-02-12T21:59:51.131855,https://www.filmweb.pl/contest/5850,,,auto,SKIPPED_ENDED,
2026-02-12T21:59:51.819973,https://www.filmweb.pl/contest/5852,,,auto,SKIPPED_ENDED,
2026-02-12T21:59:52.561930,https://www.filmweb.pl/contest/5853,,,auto,SKIPPED_ENDED,
2026-02-12T21:59:53.245820,https://www.filmweb.pl/contest/5854,,,auto,SKIPPED_ENDED,
2026-02-12T21:59:53.883069,https://www.filmweb.pl/contest/5855,,,auto,SKIPPED_ENDED,
2026-02-12T21:59:55.312288,https://www.filmweb.pl/contest/5856,,,auto,SKIPPED_ENDED,
2026-02-12T21:59:55.908991,https://www.filmweb.pl/contest/5858,,,auto,SKIPPED_ENDED,
2026-02-12T21:59:56.582048,https://www.filmweb.pl/contest/5859,,,auto,SKIPPED_ENDED,
